i,j,score
1,23,47
23,2,19
2,23,19
23,3,40
3,23,40
23,4,41
4,23,41
23,5,23
5,23,23
23,6,40
6,23,40
23,7,18
7,23,18
23,8,8
8,23,8
23,9,45
9,23,45
23,10,31
10,23,31
23,11,23
11,23,23
23,12,31
12,23,31
23,13,31
13,23,31
23,14,49
14,23,49
23,15,40
15,23,40
23,16,18
16,23,18
23,17,40
17,23,40
23,18,35
18,23,35
23,19,26
19,23,26
23,20,8
20,23,8
23,21,47
21,23,47
23,22,49
22,23,49
23,23,0
24,0,56
0,24,56
24,1,54
1,24,54
24,2,26
2,24,26
24,3,48
3,24,48
24,4,57
4,24,57
24,5,29
5,24,29
24,6,51
6,24,51
24,7,18
7,24,18
24,8,17
8,24,17
24,9,62
9,24,62
24,10,39
10,24,39
24,11,35
11,24,35
24,12,35
12,24,35
24,13,40
13,24,40
24,14,66
14,24,66
24,15,52
15,24,52
24,16,21
16,24,21
24,17,61
17,24,61
24,18,55
18,24,55
24,19,35
19,24,35
24,20,10
20,24,10
24,21,66
21,24,66
24,22,61
22,24,61
24,23,38
23,24,38
24,24,0
25,0,53
0,25,53
25,1,60
1,25,60
25,2,25
2,25,25
25,3,53
3,25,53
25,4,52
4,25,52
25,5,23
5,25,23
25,6,56
6,25,56
25,7,12
7,25,12
25,8,10
8,25,10
25,9,58
9,25,58
25,10,40
10,25,40
25,11,29
11,25,29
25,12,39
12,25,39
25,13,41
13,25,41
25,14,57
14,25,57
25,15,53
15,25,53
25,16,22
16,25,22
25,17,48
17,25,48
25,18,53
18,25,53
25,19,35
19,25,35
25,20,7
20,25,7
25,21,56
21,25,56
25,22,59
22,25,59
25,23,27
23,25,27
25,24,31
24,25,31
25,25,0
26,0,33
0,26,33
26,1,34
1,26,34
26,2,18
2,26,18
26,3,31
3,26,31
26,4,31
4,26,31
26,5,21
5,26,21
26,6,29
6,26,29
26,7,12
7,26,12
26,8,7
8,26,7
26,9,34
9,26,34
26,10,27
10,26,27
26,11,20
11,26,20
26,12,24
12,26,24
26,13,23
13,26,23
26,14,35
14,26,35
26,15,31
15,26,31
26,16,12
16,26,12
26,17,32
17,26,32
26,18,26
18,26,26
26,19,20
19,26,20
26,20,6
20,26,6
26,21,36
21,26,36
26,22,31
22,26,31
26,23,16
23,26,16
26,24,22
24,26,22
26,25,18
25,26,18
26,26,0
27,0,186
0,27,186
27,1,175
1,27,175
27,2,63
2,27,63
27,3,149
3,27,149
27,4,150
4,27,150
27,5,54
5,27,54
27,6,145
6,27,145
27,7,22
7,27,22
27,8,20
8,27,20
27,9,196
9,27,196
27,10,104
10,27,104
27,11,51
11,27,51
27,12,91
12,27,91
27,13,88
13,27,88
27,14,164
14,27,164
27,15,151
15,27,151
27,16,48
16,27,48
27,17,143
17,27,143
27,18,111
18,27,111
27,19,93
19,27,93
27,20,16
20,27,16
27,21,190
21,27,190
27,22,184
22,27,184
27,23,42
23,27,42
27,24,57
24,27,57
27,25,58
25,27,58
27,26,31
26,27,31
27,27,0
28,0,78
0,28,78
28,1,80
1,28,80
28,2,31
2,28,31
28,3,76
3,28,76
28,4,82
4,28,82
28,5,32
5,28,32
28,6,64
6,28,64
28,7,20
7,28,20
28,8,15
8,28,15
28,9,95
9,28,95
28,10,55
10,28,55
28,11,39
11,28,39
28,12,48
12,28,48
28,13,61
13,28,61
28,14,80
14,28,80
28,15,72
15,28,72
28,16,30
16,28,30
28,17,73
17,28,73
28,18,63
18,28,63
28,19,49
19,28,49
28,20,12
20,28,12
28,21,95
21,28,95
28,22,75
22,28,75
28,23,30
23,28,30
28,24,36
24,28,36
28,25,40
25,28,40
28,26,24
26,28,24
28,27,82
27,28,82
28,28,0
29,0,152
0,29,152
29,1,154
1,29,154
29,2,48
2,29,48
29,3,139
3,29,139
29,4,136
4,29,136
29,5,53
5,29,53
29,6,117
6,29,117
29,7,24
7,29,24
29,8,16
8,29,16
29,9,198
9,29,198
29,10,87
10,29,87
29,11,44
11,29,44
29,12,80
12,29,80
29,13,70
13,29,70
29,14,134
14,29,134
29,15,130
15,29,130
29,16,39
16,29,39
29,17,108
17,29,108
29,18,94
18,29,94
29,19,86
19,29,86
29,20,12
20,29,12
29,21,159
21,29,159
29,22,156
22,29,156
29,23,40
23,29,40
29,24,43
24,29,43
29,25,48
25,29,48
29,26,29
26,29,29
29,27,139
27,29,139
29,28,69
28,29,69
29,29,0
30,0,79
0,30,79
30,1,85
1,30,85
30,2,32
2,30,32
30,3,68
3,30,68
30,4,88
4,30,88
30,5,33
5,30,33
30,6,75
6,30,75
30,7,16
7,30,16
30,8,18
8,30,18
30,9,100
9,30,100
30,10,62
10,30,62
30,11,33
11,30,33
30,12,54
12,30,54
30,13,56
13,30,56
30,14,82
14,30,82
30,15,71
15,30,71
30,16,29
16,30,29
30,17,72
17,30,72
30,18,65
18,30,65
30,19,50
19,30,50
30,20,10
20,30,10
30,21,91
21,30,91
30,22,73
22,30,73
30,23,34
23,30,34
30,24,36
24,30,36
30,25,36
25,30,36
30,26,22
26,30,22
30,27,92
27,30,92
30,28,53
28,30,53
30,29,69
29,30,69
30,30,0
31,0,140
0,31,140
31,1,161
1,31,161
31,2,43
2,31,43
31,3,126
3,31,126
31,4,142
4,31,142
31,5,52
5,31,52
31,6,132
6,31,132
31,7,28
7,31,28
31,8,21
8,31,21
31,9,160
9,31,160
31,10,84
10,31,84
31,11,52
11,31,52
31,12,78
12,31,78
31,13,94
13,31,94
31,14,137
14,31,137
31,15,126
15,31,126
31,16,45
16,31,45
31,17,123
17,31,123
31,18,114
18,31,114
31,19,74
19,31,74
31,20,15
20,31,15
31,21,166
21,31,166
31,22,144
22,31,144
31,23,51
23,31,51
31,24,56
24,31,56
31,25,57
25,31,57
31,26,32
26,31,32
31,27,141
27,31,141
31,28,73
28,31,73
31,29,135
29,31,135
31,30,80
30,31,80
31,31,0
32,0,100
0,32,100
32,1,111
1,32,111
32,2,41
2,32,41
32,3,101
3,32,101
32,4,110
4,32,110
32,5,36
5,32,36
