i,j,score
33,4,155
33,5,55
33,6,159
33,7,22
33,8,23
33,9,208
33,10,108
33,11,52
33,12,88
33,13,88
33,14,178
33,15,160
33,16,44
33,17,140
33,18,112
33,19,96
33,20,18
33,21,209
33,22,172
33,23,43
33,24,59
33,25,59
33,26,37
33,27,175
33,28,83
33,29,149
33,30,83
33,31,150
33,32,101
34,0,71
34,1,76
34,2,31
34,3,68
34,4,67
34,5,32
34,6,68
34,7,22
34,8,16
34,9,75
34,10,44
34,11,32
34,12,46
34,13,50
34,14,73
34,15,67
34,16,28
34,17,66
34,18,61
34,19,50
34,20,12
34,21,78
34,22,71
34,23,32
34,24,37
34,25,38
34,26,19
34,27,73
34,28,45
34,29,64
34,30,47
34,31,75
34,32,51
34,33,74
35,0,72
35,1,78
35,2,33
35,3,72
35,4,71
35,5,28
35,6,62
35,7,20
35,8,15
35,9,84
35,10,52
35,11,25
35,12,49
35,13,48
35,14,62
35,15,66
35,16,28
35,17,69
35,18,54
35,19,52
35,20,14
35,21,76
35,22,76
35,23,25
35,24,30
35,25,31
35,26,17
35,27,79
35,28,36
35,29,64
35,30,50
35,31,70
35,32,60
35,33,81
35,34,42
36,0,103
36,1,96
36,2,47
36,3,80
36,4,89
36,5,35
36,6,83
36,7,20
36,8,16
36,9,100
36,10,65
36,11,31
36,12,59
36,13,58
36,14,89
36,15,84
36,16,32
36,17,82
36,18,68
36,19,57
36,20,15
36,21,110
36,22,89
36,23,28
36,24,40
36,25,33
36,26,18
36,27,95
36,28,48
36,29,83
36,30,50
36,31,80
36,32,72
36,33,95
36,34,45
36,35,50
37,0,9
37,1,11
37,2,7
37,3,8
37,4,9
37,5,7
37,6,8
37,7,6
37,8,3
37,9,10
37,10,6
37,11,6
37,12,7
37,13,6
37,14,9
37,15,9
37,16,6
37,17,10
37,18,7
37,19,8
37,20,5
37,21,9
37,22,9
37,23,6
37,24,7
37,25,7
37,26,6
37,27,8
37,28,7
37,29,9
37,30,8
37,31,7
37,32,7
37,33,14
37,34,7
37,35,7
37,36,8
38,0,108
38,1,116
38,2,45
38,3,104
38,4,105
38,5,46
38,6,98
38,7,21
38,8,18
38,9,117
38,10,78
38,11,41
38,12,68
38,13,67
